R,Ohm	C,pF	Temp,C
0000000000	0000100000	+124.99
Ch1,V	Ch2,V	Time,s
+00.0001	-00.0009	0000.000
+00.0001	-00.0006	0000.001
+00.0029	-00.0009	0000.002
+00.0056	-00.0009	0000.003
+00.0087	-00.0006	0000.004
+00.0117	-00.0009	0000.005
+00.0148	+00.0000	0000.006
+00.0178	-00.0012	0000.007
+00.0206	-00.0006	0000.008
+00.0236	-00.0006	0000.009
+00.0267	-00.0009	0000.010
+00.0297	-00.0009	0000.011
+00.0322	-00.0009	0000.012
+00.0358	-00.0003	0000.013
+00.0383	-00.0003	0000.014
+00.0416	-00.0003	0000.015
+00.0450	-00.0009	0000.016
+00.0477	-00.0009	0000.017
+00.0508	-00.0003	0000.018
+00.0535	-00.0012	0000.019
+00.0566	-00.0006	0000.020
+00.0599	-00.0003	0000.021
+00.0630	-00.0006	0000.022
+00.0660	-00.0006	0000.023
+00.0691	-00.0006	0000.024
+00.0718	-00.0009	0000.025
+00.0746	-00.0003	0000.026
+00.0776	-00.0003	0000.027
+00.0810	-00.0006	0000.028
+00.0840	-00.0006	0000.029
+00.0871	-00.0009	0000.030
+00.0895	-00.0003	0000.031
+00.0932	-00.0003	0000.032
+00.0956	-00.0006	0000.033
+00.0987	-00.0009	0000.034
+00.1017	+00.0000	0000.035
+00.1048	-00.0003	0000.036
+00.1078	-00.0003	0000.037
+00.1106	-00.0003	0000.038
+00.1136	+00.0000	0000.039
+00.1170	-00.0006	0000.040
+00.1200	-00.0003	0000.041
+00.1228	-00.0003	0000.042
+00.1255	-00.0003	0000.043
+00.1286	-00.0003	0000.044
+00.1319	-00.0003	0000.045
+00.1347	+00.0000	0000.046
+00.1387	+00.0000	0000.047
+00.1411	+00.0000	0000.048
+00.1442	+00.0003	0000.049
+00.1469	-00.0006	0000.050
+00.1500	-00.0006	0000.051
+00.1530	+00.0000	0000.052
+00.1564	+00.0003	0000.053
+00.1591	+00.0000	0000.054
+00.1616	+00.0000	0000.055
+00.1646	-00.0003	0000.056
+00.1680	-00.0003	0000.057
+00.1710	+00.0003	0000.058
+00.1738	+00.0000	0000.059
+00.1765	+00.0003	0000.060
+00.1799	+00.0003	0000.061
+00.1826	+00.0003	0000.062
+00.1860	+00.0003	0000.063
+00.1887	+00.0000	0000.064
+00.1915	+00.0000	0000.065
+00.1945	+00.0000	0000.066
+00.1979	+00.0003	0000.067
+00.2006	+00.0003	0000.068
+00.2037	+00.0003	0000.069
+00.2070	+00.0003	0000.070
+00.2104	+00.0006	0000.071
+00.2128	+00.0000	0000.072
+00.2159	+00.0003	0000.073
+00.2186	+00.0006	0000.074
+00.2220	+00.0003	0000.075
+00.2250	+00.0003	0000.076
+00.2284	+00.0003	0000.077
+00.2308	+00.0003	0000.078
+00.2336	+00.0006	0000.079
+00.2372	+00.0003	0000.080
+00.2400	+00.0006	0000.081
+00.2427	+00.0003	0000.082
+00.2461	+00.0006	0000.083
+00.2491	+00.0010	0000.084
+00.2519	+00.0006	0000.085
+00.2549	+00.0006	0000.086
+00.2583	+00.0006	0000.087
+00.2607	+00.0006	0000.088
+00.2644	+00.0013	0000.089
+00.2668	+00.0013	0000.090
+00.2699	+00.0010	0000.091
+00.2726	+00.0010	0000.092
+00.2763	+00.0010	0000.093
+00.2790	+00.0010	0000.094
+00.2821	+00.0010	0000.095
+00.2851	+00.0010	0000.096
+00.2879	+00.0006	0000.097
+00.2913	+00.0010	0000.098
+00.2940	+00.0013	0000.099
+00.2967	+00.0006	0000.100
+00.3004	+00.0013	0000.101
+00.3032	+00.0013	0000.102
+00.3059	+00.0013	0000.103
+00.3093	+00.0013	0000.104
+00.3120	+00.0013	0000.105
+00.3151	+00.0010	0000.106
+00.3181	+00.0016	0000.107
+00.3209	+00.0016	0000.108
+00.3242	+00.0013	0000.109
+00.3270	+00.0013	0000.110
+00.3303	+00.0010	0000.111
+00.3331	+00.0016	0000.112
+00.3361	+00.0019	0000.113
+00.3392	+00.0016	0000.114
+00.3419	+00.0016	0000.115
+00.3456	+00.0016	0000.116
+00.3483	+00.0016	0000.117
+00.3514	+00.0016	0000.118
+00.3541	+00.0019	0000.119
+00.3569	+00.0016	0000.120
+00.3602	+00.0016	0000.121
+00.3630	+00.0019	0000.122
+00.3660	+00.0016	0000.123
+00.3697	+00.0019	0000.124
+00.3724	+00.0022	0000.125
+00.3752	+00.0019	0000.126
+00.3785	+00.0019	0000.127
+00.3813	+00.0019	0000.128
+00.3843	+00.0022	0000.129
+00.3874	+00.0022	0000.130
+00.3901	+00.0025	0000.131
+00.3935	+00.0019	0000.132
+00.3962	+00.0022	0000.133
+00.3996	+00.0022	0000.134
+00.4023	+00.0022	0000.135
+00.4051	+00.0019	0000.136
+00.4081	+00.0028	0000.137
+00.4112	+00.0025	0000.138
+00.4142	+00.0031	0000.139
+00.4170	+00.0022	0000.140
+00.4206	+00.0025	0000.141
+00.4228	+00.0025	0000.142
+00.4261	+00.0025	0000.143
+00.4292	+00.0025	0000.144
+00.4322	+00.0028	0000.145
+00.4350	+00.0025	0000.146
+00.4387	+00.0022	0000.147
+00.4420	+00.0028	0000.148
+00.4441	+00.0028	0000.149
+00.4469	+00.0028	0000.150
+00.4506	+00.0028	0000.151
+00.4533	+00.0028	0000.152
+00.4560	+00.0028	0000.153
+00.4591	+00.0028	0000.154
+00.4618	+00.0031	0000.155
+00.4649	+00.0031	0000.156
+00.4683	+00.0034	0000.157
+00.4713	+00.0034	0000.158
+00.4741	+00.0037	0000.159
+00.4777	+00.0031	0000.160
+00.4802	+00.0031	0000.161
+00.4835	+00.0037	0000.162
+00.4869	+00.0037	0000.163
+00.4890	+00.0031	0000.164
+00.4924	+00.0034	0000.165
+00.4951	+00.0034	0000.166
+00.4985	+00.0037	0000.167
+00.5012	+00.0037	0000.168
+00.5046	+00.0037	0000.169
+00.5076	+00.0037	0000.170
+00.5107	+00.0034	0000.171
+00.5131	+00.0037	0000.172
+00.5159	+00.0037	0000.173
+00.5192	+00.0040	0000.174
+00.5226	+00.0037	0000.175
+00.5256	+00.0040	0000.176
+00.5287	+00.0040	0000.177
+00.5314	+00.0043	0000.178
+00.5342	+00.0040	0000.179
+00.5372	+00.0046	0000.180
+00.5406	+00.0040	0000.181
+00.5436	+00.0046	0000.182
+00.5467	+00.0046	0000.183
+00.5497	+00.0043	0000.184
+00.5525	+00.0040	0000.185
+00.5555	+00.0046	0000.186
+00.5586	+00.0046	0000.187
+00.5616	+00.0049	0000.188
+00.5650	+00.0046	0000.189
+00.5674	+00.0052	0000.190
+00.5705	+00.0049	0000.191
+00.5732	+00.0052	0000.192
+00.5766	+00.0049	0000.193
+00.5796	+00.0049	0000.194
+00.5824	+00.0052	0000.195
+00.5854	+00.0055	0000.196
+00.5885	+00.0058	0000.197
+00.5915	+00.0058	0000.198
+00.5949	+00.0061	0000.199
+00.5976	+00.0074	0000.200
+00.6007	+00.0061	0000.201
+00.6038	+00.0068	0000.202
+00.6065	+00.0071	0000.203
+00.6092	+00.0071	0000.204
+00.6126	+00.0074	0000.205
+00.6160	+00.0074	0000.206
+00.6181	+00.0080	0000.207
+00.6218	+00.0083	0000.208
+00.6242	+00.0083	0000.209
+00.6272	+00.0089	0000.210
+00.6306	+00.0089	0000.211
+00.6337	+00.0104	0000.212
+00.6364	+00.0113	0000.213
+00.6395	+00.0129	0000.214
+00.6422	+00.0150	0000.215
+00.6459	+00.0174	0000.216
+00.6486	+00.0205	0000.217
+00.6514	+00.0229	0000.218
+00.6541	+00.0248	0000.219
+00.6578	+00.0309	0000.220
+00.6605	+00.0336	0000.221
+00.6639	+00.0409	0000.222
+00.6663	+00.0425	0000.223
+00.6700	+00.0440	0000.224
+00.6724	+00.0446	0000.225
+00.6755	+00.0458	0000.226
+00.6785	+00.0467	0000.227
+00.6813	+00.0479	0000.228
+00.6849	+00.0492	0000.229
